model,aggregator,threshold,sensitivity,specificity,youden_j,auroc,auprc,brier,accuracy,n_pos,n_neg,cm_tn,cm_fp,cm_fn,cm_tp,sens_ci_lo,sens_ci_hi,auroc_ci_lo,auroc_ci_hi
lightgbm,mean,0.4,0.25,0.8717948717948718,0.1217948717948718,0.6586538461538461,0.3847222222222222,0.18545454545454546,0.6909090909090909,16,39,34,5,12,4,0.06447916666666667,0.4666666666666667,0.5397222222222222,0.7651609071099557
random_forest,voting,0.4,0.25,0.8461538461538461,0.09615384615384626,0.5769230769230769,0.33636363636363636,0.20231404958677682,0.6727272727272727,16,39,33,6,12,4,0.058823529411764705,0.5,0.4146142708642709,0.7336650268336312
lightgbm,max,0.5,0.1875,0.9230769230769231,0.11057692307692313,0.6907051282051282,0.4062877415458937,0.1827272727272727,0.7090909090909091,16,39,36,3,13,3,0.0,0.4,0.5641394628099173,0.7978239748056821
logreg_l2,max,0.5,0.125,0.9487179487179487,0.07371794871794868,0.7035256410256411,0.4177188552188552,0.17898193760262732,0.7090909090909091,16,39,37,2,14,2,0.0,0.3333333333333333,0.5649211711711711,0.8234594594594595
logreg_elasticnet,max,0.5,0.125,0.9487179487179487,0.07371794871794868,0.6899038461538461,0.41094602635550914,0.18404040404040403,0.7090909090909091,16,39,37,2,14,2,0.0,0.3333333333333333,0.5262069774212331,0.8294436936936936
logreg_elasticnet,mean,inf,0.0,1.0,0.0,0.6121794871794872,0.34819897084048024,0.19702479338842974,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.4792151162790698,0.7406715116279069
logreg_l2,geom_mean,inf,0.0,1.0,0.0,0.5833333333333334,0.3312169312169312,0.2007928913192071,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.43437209302325586,0.705859068627451
logreg_l2,p75,inf,0.0,1.0,0.0,0.6121794871794872,0.34819897084048024,0.19702479338842974,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.4758062320562321,0.7393522727272727
lightgbm,noisy_or,inf,0.0,1.0,0.0,0.6746794871794872,0.38704351204351206,0.18222222222222226,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.5577610294117648,0.7717047101449276
logreg_l2,noisy_or,inf,0.0,1.0,0.0,0.6778846153846154,0.3917417417417418,0.18415584415584413,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.5609739346019834,0.7898385012919896
logreg_l2,weighted_mean,inf,0.0,1.0,0.0,0.5993589743589743,0.3401775804661487,0.198592738530819,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.4699044117647059,0.7265890151515151
logreg_l2,voting,inf,0.0,1.0,0.0,0.5897435897435896,0.3351731601731601,0.20011988011988008,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.45135096153846155,0.7227141943734015
logreg_l2,topk_mean,inf,0.0,1.0,0.0,0.6049679487179487,0.3469929245283019,0.19863636363636364,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.44258814102564104,0.7496801801801801
random_forest,p75,inf,0.0,1.0,0.0,0.5953525641025641,0.34160382628124564,0.20059523809523808,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.44633356227106225,0.7286550957592338
random_forest,max,inf,0.0,1.0,0.0,0.5673076923076923,0.32259678911205075,0.2018000604047116,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.4572708333333333,0.6678179824561403
logreg_elasticnet,topk_mean,inf,0.0,1.0,0.0,0.6049679487179487,0.3469929245283019,0.19863636363636364,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.44258814102564104,0.7496801801801801
logreg_elasticnet,voting,inf,0.0,1.0,0.0,0.6009615384615385,0.34273618538324424,0.19921842863019326,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.46025,0.7323423359728506
logreg_elasticnet,geom_mean,inf,0.0,1.0,0.0,0.5841346153846154,0.33183077050264553,0.20078748006379582,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.43681024774774774,0.7138951247616021
logreg_elasticnet,weighted_mean,inf,0.0,1.0,0.0,0.6121794871794872,0.34819897084048024,0.19702479338842974,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.4792151162790698,0.7406715116279069
logreg_elasticnet,noisy_or,inf,0.0,1.0,0.0,0.6826923076923077,0.3968343343343343,0.18388648388648385,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.569229094076655,0.8125801282051281
logreg_elasticnet,p75,inf,0.0,1.0,0.0,0.6121794871794872,0.34819897084048024,0.19702479338842974,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.4758062320562321,0.7393522727272727
logreg_l2,mean,inf,0.0,1.0,0.0,0.5993589743589743,0.3401775804661487,0.198592738530819,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.4699044117647059,0.7265890151515151
