model,threshold,sensitivity,specificity,youden_j,auroc,auprc,brier,accuracy,n_pos,n_neg,cm_tn,cm_fp,cm_fn,cm_tp,sens_ci_lo,sens_ci_hi,auroc_ci_lo,auroc_ci_hi
random_forest,0.4192899682179618,0.5625,0.717948717948718,0.28044871794871806,0.6298076923076924,0.38422017743321923,0.22076691765000553,0.6727272727272727,16,39,28,11,7,9,0.3223958333333333,0.8125,0.4577916666666667,0.7931004772004242
baseline_clinical_logreg,0.5397887453842098,0.4375,0.7692307692307693,0.20673076923076916,0.5560897435897436,0.43010903907883447,0.25199769841633474,0.6727272727272727,16,39,30,9,9,7,0.21805555555555556,0.7142857142857143,0.36998374613003093,0.7658845457079149
lightgbm,0.5227653432438195,0.25,0.717948717948718,-0.03205128205128205,0.5032051282051282,0.2924728935455206,0.33706699144533064,0.5818181818181818,16,39,28,11,12,4,0.0625,0.47058823529411764,0.3483327526132404,0.6692766295707471
logreg_l2,0.8662549835439164,0.1875,0.8974358974358975,0.08493589743589736,0.4358974358974359,0.2833417254147935,0.3354720779512847,0.6909090909090909,16,39,35,4,13,3,0.0,0.4117647058823529,0.27076786088413995,0.6163209261893472
logreg_elasticnet,0.7611924452861125,0.1875,0.8717948717948718,0.059294871794871806,0.5176282051282051,0.30783566470357243,0.2962501119466977,0.6727272727272727,16,39,34,5,13,3,0.0,0.4117647058823529,0.35879790940766554,0.685387042094359
baseline_majority,inf,0.0,1.0,0.0,0.5,0.2909090909090909,0.2909090909090909,0.7090909090909091,16,39,39,0,16,0,0.0,0.0,0.5,0.5
